epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,112.461,0.18535,0.18117,0.79264,0.99797,1,0.995,0.995,0.14525,0.14668,0.79229,0.0003368,0.0003368,0.0003368
86,113.74,0.17645,0.17944,0.7879,0.99797,1,0.995,0.995,0.15007,0.14604,0.7933,0.000317,0.000317,0.000317
87,115.009,0.19108,0.18661,0.79903,0.99797,1,0.995,0.995,0.16727,0.15542,0.79404,0.0002972,0.0002972,0.0002972
88,116.26,0.16894,0.17157,0.7825,0.99796,1,0.995,0.995,0.16474,0.15243,0.79237,0.0002774,0.0002774,0.0002774
89,117.484,0.16206,0.16862,0.79961,0.99797,1,0.995,0.995,0.15448,0.14754,0.79234,0.0002576,0.0002576,0.0002576
90,118.743,0.16854,0.16598,0.79267,0.99801,1,0.995,0.995,0.14948,0.14113,0.79148,0.0002378,0.0002378,0.0002378
91,124.819,0.14823,0.16138,0.78998,0.99796,1,0.995,0.995,0.17687,0.1464,0.79412,0.000218,0.000218,0.000218
92,126.099,0.15692,0.16528,0.79271,0.99793,1,0.995,0.995,0.14132,0.1409,0.79113,0.0001982,0.0001982,0.0001982
93,127.376,0.15642,0.16433,0.76448,0.99791,1,0.995,0.995,0.14132,0.13857,0.79014,0.0001784,0.0001784,0.0001784
94,128.639,0.14584,0.15996,0.77576,0.9979,1,0.995,0.995,0.15263,0.15418,0.78929,0.0001586,0.0001586,0.0001586
95,129.872,0.14694,0.15171,0.77805,0.9979,1,0.995,0.995,0.15662,0.15562,0.78899,0.0001388,0.0001388,0.0001388
96,131.121,0.13886,0.14962,0.7795,0.99787,1,0.995,0.995,0.15194,0.14765,0.78987,0.000119,0.000119,0.000119
97,132.353,0.14032,0.14779,0.7945,0.99787,1,0.995,0.995,0.15077,0.14621,0.78945,9.92e-05,9.92e-05,9.92e-05
98,133.602,0.12501,0.14288,0.77067,0.9979,1,0.995,0.995,0.142,0.13963,0.78947,7.94e-05,7.94e-05,7.94e-05
99,134.849,0.12925,0.14271,0.77727,0.9979,1,0.995,0.995,0.14042,0.13936,0.78839,5.96e-05,5.96e-05,5.96e-05
100,136.123,0.13212,0.13945,0.76013,0.99791,1,0.995,0.995,0.13576,0.13833,0.78772,3.98e-05,3.98e-05,3.98e-05
